publisher	country
Koei Tecmo Holdings	Japan
Q1579905	Germany
Simulations Publications, Inc.	United States of America
Kazé	France
Harenberg Verlag	Germany
HarperCollins UK	United Kingdom
Rand McNally	United States of America
Q1586387	Switzerland
Harvard University Press	United States of America
Kunstverlag Weingarten	Germany
Nishen-Verlag	Germany
Q1593476	Germany
Konrad Theiss Verlag	Germany
Hueber Verlag	Germany
Q1484714	Germany
Verlag Westfälisches Dampfboot	Germany
Gabal Verlag	Germany
Springer Gabler	Germany
Lagardère Group	France
Galatasaray University	Turkey
Galiani Verlag	Germany
Q1492090	Germany
Gambero Rosso	Italy
Gamescience	United States of America
Limmat Verlag	Switzerland
Gangaroo	Austria
Ganske Publishing Group	Germany
Q1495872	Germany
Gauke GmbH – Verlag für Sozialökonomie	Germany
Gazi University	Turkey
Gebrüder Metz	Germany
Gebrüder Paetel Verlag	Germany
Learned Estonian Society	Estonia
Parker Brothers	United States of America
Genetics Society of America	United States of America
Geographical Institute of Weimar	Germany
Geological Society of America	United States of America
Rio Grande Games	United States of America
Georg Olms Verlag	Germany
Michael Imhof Verlag	Germany
Publishing House of the Austrian Academy of Sciences	Austria
Springer Fachmedien Wiesbaden	Germany
Helmut Lingen Verlag	Germany
Q1604586	Germany
Q1606795	Germany
Henselowsky Boschmann Verlag	Germany
Herdt-Verlag	Germany
Q1613411	Germany
Verlag Schnell & Steiner	Germany
Mastertronic	United Kingdom
Het Spectrum	Netherlands
Hexaglot	Germany
Q1616943	Germany
Heyne Verlag	Germany
Philtrum Press	United States of America
Hier und Jetzt (Switzerland)	Switzerland
Q1617915	Germany
Hindawi Publishing Corporation	United Kingdom
Hinstorff Verlag	Germany
Hirmer Verlag	Germany
Q1622036	Germany
Hogarth Press	United Kingdom
Hogrefe Verlag	Germany
Holzmann Medien	Germany
Universia	Spain
Selçuk University	Turkey
Huber Verlag	Germany
Nihon Ki-in	Japan
Hugendubel	Germany
National Institute of Amazonian Research	Brazil
Q1636669	Germany
Jüdischer Verlag	Germany
Walter Verlag	Switzerland
Q1639126	Germany
Q1639274	Germany
Q1641659	Germany
Verlag Hölder-Pichler-Tempsky	Austria
Q1644270	Germany
Johns Hopkins University Press	United States of America
Schmidt-Römhild	Germany
Kosmos	Germany
Schirmer/Mosel Verlag	Germany
Leidsch Dagblad	Netherlands
Garamond Verlag	Germany
Q1655041	Switzerland
iUniverse	United States of America
Igel Verlag	Germany
Il Sole 24 Ore	Italy
Europa Press	France
The McClatchy Company	United States of America
Imprimatur Verlag Rudolf Kring	Germany
Q1660424	Germany
J.B. Metzler	Germany
Info Verlag	Germany
Royal Dutch Mathematical Society	Netherlands
Institut Papst Benedikt XVI.	Germany
Institute for Bible Translation	Sweden
Institut für Sozialarbeit und Sozialpädagogik	Germany
Kiel Institute for the World Economy	Germany
Institution of Civil Engineers	United Kingdom
International Biographical Centre	United Kingdom
Neue Impulse Verlag	Germany
Internationale der Kriegsdienstgegner/innen	Germany
International Council of Christians and Jews	Germany
Q1667996	Germany
German Medical Association	Germany
Verein Deutscher Bibliothekarinnen und Bibliothekare	Germany
Slovak University of Agriculture	Slovakia
J.P. Bachem Verlag	Germany
Q1668733	Germany
Q1669272	Germany
Istituto Geografico Centrale	Italy
J.Fink Verlag	Germany
Q1676319	Germany
Verlag Karl Alber	Germany
Springer Vieweg Verlag	Germany
Jahreszeiten Verlag	Germany
Pahl-Rugenstein Verlag	Germany
University of Provence - Aix-Marseille I	France
Verlag Dr. Kovač	Germany
Q1691075	Germany
Joh. Brendow & Sohn Verlag	Germany
SCM R. Brockhaus	Germany
Square Enix Europe	United Kingdom
Q1695669	Austria
Verlag für moderne Kunst	Germany
Juris	Germany
Princeton University Press	United States of America
University of Osijek	Croatia
Olympia-Verlag	Germany
Jumbo New Media & Publishing	Germany
Jung und Jung	Austria
Junius Verlag	Germany
Junker und Dünnhaupt	Germany
K.K. Hof- und Staatsdruckerei	Austria
Sakarya University	Turkey
Q1721492	Luxembourg
Q1723356	Germany
Q1725982	Sweden
Q1731501	Germany
kassel university press	Germany
Westend Verlag	Germany
Q1736441	Germany
Q1736891	Germany
Kaupert	Germany
Q1737837	Germany
Kehrer Verlag	Germany
Kein & Aber	Switzerland
Q1738292	Germany
Kessinger Publishing	United States of America
Latin American Studies Association	United States of America
Q1741780	Germany
Q1741843	Germany
Remote Control Productions	United States of America
Pan American Health Organization	United States of America
Q1865119	Germany
Prometheus Books	United States of America
J.B. Wolters Publishing	Netherlands
Luchterhand Fachverlag	Germany
Lucius & Lucius	Germany
Luftschacht	Austria
Lutherisches Verlagshaus	Germany
L'Association	France
Q1880713	Germany
MVS Medizinverlage Stuttgart	Germany
Magic Bytes	Germany
Manz’sche Verlags- und Universitätsbuchhandlung	Austria
Presses Universitaires De France	France
Lambung Mangkurat University	Indonesia
Noordhoff Uitgevers	Netherlands
Markus-Verlag	Germany
Q1902317	Germany
Q1903424	Netherlands
Martin Werhand Verlag	Germany
Bank Indonesia	Indonesia
Matthaes Verlag	Germany
Matthes & Seitz Berlin	Germany
Matthes & Seitz	Germany
Maudrich-Fachverlag	Austria
McLoughlin Brothers	United States of America
Median-Verlag	Germany
Mediengruppe Pressedruck	Germany
Q1916525	Germany
Memento Verlag	Germany
Mentis	Germany
Q1921152	Germany
Merlin Verlag	Germany
Q1922081	Germany
Mersin University	Turkey
U.S. Gold	United Kingdom
Q1934519	Germany
Ministerium des Innern und für Sport	Germany
Blackie and Son	United Kingdom
Mitchell Beazley	United Kingdom
Mitteldeutscher Verlag	Germany
Q1940898	Germany
Mohr Siebeck Verlag	Germany
Q1944284	Switzerland
Morawa	Austria
Moritz Perles	Austria
Multi-Man Publishing	United States of America
Murmann Verlag	Germany
Dr. J. Butz	Germany
Musikverlag M. P. Belaieff	Germany
Münchner Verlagsgruppe	Germany
Münchner Wochenanzeiger	Germany
Q1959305	Austria
Q1961667	Germany
Nackter Stahl	Germany
Kiribati Medienverlag	Germany
Foreign Languages Press	China
Wilhelm Fink Verlag	Germany
Norstedts Förlag	Sweden
Q1755462	Germany
Simon & Schuster	United States of America
Q1762915	Germany
Schöning-Verlag	Germany
Det Norske Samlaget	Norway
Q1770838	Germany
Q1773119	Germany
Justus Perthes	Germany
Ligue des Bibliothèques Européennes de Recherche	Netherlands
Klöpfer & Meyer Verlag	Germany
Knackstedt & Näther	Germany
Knesebeck	Germany
Daily Dispatch	South Africa
Koehlers Verlagsgesellschaft	Germany
Q1778474	Germany
Kohlhammer Verlag	Germany
Q1779789	Germany
Kompass Karten	Austria
Komplett-Media	Germany
Infogrames	France
University of Ostrava	Czech Republic
Q1784694	Germany
Matice česká	Czech Republic
Picus Verlag	Austria
University of Montenegro	Montenegro
Q1786241	Germany
Kremayr & Scheriau	Austria
Q1789444	Germany
Kulturmaschinen	Germany
Körber Foundation	Germany
Davvi Girji	Norway
Q1798720	Germany
Giuntina	Italy
Verlag Philipp von Zabern	Germany
VNR Verlag für die Deutsche Wirtschaft	Germany
Q1801444	Germany
Lamuv Verlag	Germany
Landesamt für Denkmalpflege und Archäologie Sachsen-Anhalt	Germany
Q1805803	Germany
Lars Müller Publishers	Switzerland
Piratförlaget	Sweden
Laurin-Verlag	Germany
Q1808736	Germany
London Mathematical Society	United Kingdom
University of the Balearic Islands	Spain
Lehmanns verlag	Germany
University of Chicago Press	United States of America
Leipzig University Press	Germany
Madman Entertainment	Australia
Lenos	Switzerland
Les Classiques des sciences sociales	Canada
Levy & Müller	Germany
Q1822344	Germany
Libertad Verlag	Germany
Vatican Publishing House	Vatican City
Q1825339	Germany
Limbus Verlag	Austria
Nagel & Kimche Verlag	Switzerland
Namık Kemal University	Turkey
Naspers	South Africa
Strube-Verlag	Germany
Rosicrucian Fellowship	United States of America
Network WorldWide Projects	Germany
Neuer Malik Verlag	Germany
Neufeld Verlag	Germany
Neukirchener Verlagsgesellschaft	Germany
Bridge Publications	United States of America
New Zealand Forest Research Institute	New Zealand
Niedersächsische Landeszentrale für politische Bildung	Germany
Q1988931	Germany
Top Cow Productions	United States of America
Nomos	Germany
NordSüd Verlag	Switzerland
Norddeutsche Papier-Industrie	Germany
Q1999144	Germany
Technical University of Valencia	Spain
Conrad Editora	Brazil
Nymphenburger Verlag	Germany
Joh. Enschedé	Netherlands
oekom verlag	Germany
De Harmonie	Netherlands
Q2017658	Germany
Q2017794	Germany
BMJ	United Kingdom
Bharatiya Jnanpith	India
Q2024565	Germany
Optica	United States of America
Rebellion Developments	United Kingdom
Orlanda Frauenverlag	Germany
Oscar Brandstetter	Germany
University of Pennsylvania Press	United States of America
Otto Müller Verlag	Austria
PCM Uitgevers	Netherlands
Pabel-Moewig Verlag	Germany
Q2045292	Spain
Pacific Comics	United States of America
Q2051871	Germany
A.W. Bruna Uitgevers	Netherlands
Unidad Editorial	Spain
Rabén & Sjögren	Sweden
De Arbeiderspers	Netherlands
Royal Netherlands Chemical Society	Netherlands
Pegasus Spiele	Germany
505 Games	Italy
Pendo Verlag	Germany
Penguin Software	United States of America
PERSEN-Verlag	Germany
Seven Seas Entertainment	United States of America
Kill Time Communication	Japan
Peter Hammer Verlag	Germany
Dell Publishing	United States of America
Academic Press	United States of America
Peter Meyer Verlag	Germany
Gale	United States of America
Q2516795	Germany
Verlagsgesellschaft Madsack	Germany
Mediengruppe Deutscher Apotheker Verlag	Germany
Verlagsgruppe Beltz	Germany
Verlagsgruppe Rhein Main	Germany
GeraNova Bruckmann	Germany
Jacoby & Stuart	Germany
teNeues	Germany
Botanical Society of America	United States of America
Victor Gollancz Ltd	United Kingdom
Gallimard Jeunesse	France
Vieweg Verlag	Germany
Planeta DeAgostini	Spain
Voggenreiter Verlag	Germany
Tengen	United States of America
W. Zuckschwerdt Verlag	Germany
Q2537067	Germany
WaRP Graphics	United States of America
Wachholtz Verlag	Germany
Waldviertler Heimatbund	Austria
Djeco	France
CI Games S.A.	Poland
Q2549894	Germany
P. Noordhoff	Netherlands
Waxmann	Germany
Editora Abril S/A	Brazil
Wenwu Chubanshe	China
Q2560718	Germany
Westdeutscher Verlag	Germany
Westermann Verlag	Germany
Braumüller	Austria
Thomas Dunne Books	United States of America
Columbia University Press	United States of America
University of Illinois Press	United States of America
Q2083453	Germany
Simón Bolívar University	Venezuela
Q2094170	Switzerland
West End Games	United States of America
Indian National Science Academy	India
Fodor's	United States of America
Ward, Lock & Co	United Kingdom
Q2107390	Austria
Macmillan Publishers	United Kingdom
Q2110183	Germany
Promedia Verlag	Austria
Q2113371	Germany
Q2115886	Germany
Psychothriller	Germany
Uitgeverij Leopold	Netherlands
R.L. Polk & Co.	United States of America
R. Oldenbourg Verlag	Germany
RR Donnelley	United States of America
Q2124738	Germany
Gujarat Samachar	India
Raphael Tuck & Sons	United Kingdom
Q2133671	Germany
Dover Publications	United States of America
Q2140366	Germany
SPIE	United States of America
Reinicke & Rubin	Germany
Remzi Kitabevi	Turkey
Reprodukt	Germany
Residenz Verlag	Austria
Reynal & Hitchcock	United States of America
Richard Boorberg Verlag	Germany
Milton Bradley Company	United States of America
Hoffmann und Campe	Germany
GTO Records	United Kingdom
Q2156119	Germany
Rogner & Bernhard	Germany
Roseverte	Japan
Rosman	Russia
Royal College of Physicians of Edinburgh	United Kingdom
Rudolf Steiner Verlag	Switzerland
Malmberg	Netherlands
Oberon	Netherlands
Éditions Albin Michel	France
Luitingh-Sijthoff	Netherlands
Q2203864	Switzerland
Karger Publishers	Switzerland
Zenit News Agency	United States of America
Q2209153	Germany
Q2215831	Switzerland
Q2224759	Germany
Q2225169	Germany
Waanders	Netherlands
Schattauer Verlag	Germany
Schiele & Schön	Germany
Q2236395	Germany
Schleswig-Holsteinischer Zeitungsverlag	Germany
Lemniskaat	Netherlands
Q2249646	Germany
Schulthess	Switzerland
Schulz-Kirchner Verlag	Germany
Schwabe AG	Switzerland
Schwarzer Turm	Germany
Schwarzkopf & Schwarzkopf Verlag	Germany
Verlag Schweers + Wall	Germany
Singidunum University	Serbia
University of Zadar	Croatia
Universum-Bücherei	Germany
Universum Verlag	Germany
Northern Songs	England
Urban & Schwarzenberg	Germany
Q2500153	Germany
Q2505601	Germany
VDG Weimar	Germany
VGE Verlag	Germany
Helion	Poland
VSA-Verlag	Germany
Vandenhoeck & Ruprecht	Germany
Ventil Verlag	Germany
Public Transport Union	Switzerland
Association of Austrian Librarians	Austria
Q2516089	Germany
Verlag Antje Kunstmann	Germany
Braun and Schneider	Germany
Q2516631	Germany
Q2516639	Germany
Verlag Der Syndikalist	Germany
Verlag Dohr	Germany
Q2516646	Germany
Q2516652	Germany
publisher Ed. Hölzel	Austria
Verlag E.P. Tal & Co	Austria
Q2516660	Germany
Verlag Enzyklopädie Leipzig	Germany
Verlag Ferdinand Berger & Söhne	Austria
Verlag Harri Deutsch	Germany
Q2516685	Germany
Verlag Herder	Germany
Q2516702	Germany
Verlag Klemm & Oelschläger	Germany
Q2516707	Austria
Q2516710	Germany
John Verlag	Germany
Verlag Neue Musik	Germany
Q2516727	Germany
Verlag Otto Beyer	Germany
Verlag Rockstuhl	Germany
Melantrich	Czech Republic
Verlag Rüegger	Switzerland
Q2516747	Switzerland
Verlag Sauerländer	Switzerland
Verlag Rosa Winkel	Germany
Verlag Slezak	Austria
Verlag Technik	Germany
Verlag Weber & Zucht	Germany
Verlag Vittorio Klostermann	Germany
Verlag Theodor Steinkopff	Germany
Verlag am Goetheanum	Switzerland
Verlag der Autoren	Germany
Q2516780	Germany
Verlag für Berlin-Brandenburg	Germany
Q2516791	Germany
Wissenschaftliche Buchgesellschaft	Germany
Wißner-Verlag	Germany
Q2587634	Germany
American Anthropological Association	United States of America
WortArt	Germany
Q2595192	Germany
Jongbloed BV	Netherlands
Q2596809	Germany
Q2599949	Germany
Sumo Digital	United Kingdom
Bantam Books	United States of America
Arc System Works	Japan
Statistical Office of the Republic of Slovenia	Slovenia
Strategy First	United Kingdom
